comment;category;crit1;crit2;crit3
Молодец!;positive;0;0;1
Хорошо!;positive;0;0;1
Гораздо лучше, чем я ожидал!;positive;0;0;0
Ты меня приятно удивил!;positive;0;0;1
Великолепно!;positive;0;0;1
Ты меня очень обрадовал!;positive;0;0;1
Именно этого я давно ждал от тебя!;positive;0;0;0
Сказано здорово – просто и ясно!;positive;1;0;1
Ты, как всегда, точен!;positive;1;0;1
Очень хороший ответ!;positive;0;0;1
Талантливо!;positive;0;0;1
Ты сегодня прыгнул выше головы!;positive;0;0;0
Я поражен!;positive;0;0;1
Уже существенно лучше!;positive;0;0;1
Потрясающе!;positive;0;0;1
Замечательно!;positive;0;0;1
Прекрасное начало!;positive;0;0;1
Так держать!;positive;0;0;1
Ты на верном пути!;positive;0;0;1
Здорово!;positive;0;0;1
Это как раз то, что нужно!;positive;0;0;1
Я тобой горжусь!;positive;0;0;1
С каждым разом у тебя получается всё лучше!;positive;0;0;1
Мы с тобой не зря поработали!;positive;0;0;1
Я вижу, как ты стараешься!;positive;0;0;1
Ты растешь над собой!;positive;0;0;1
Ты многое сделал, я это вижу!;positive;0;0;1
Теперь у тебя точно все получится!;positive;0;0;1
Ты сейчас на правильном пути.;positive;0;0;1
Великолепно!;positive;0;0;1
У тебя получилось это дело.;positive;0;0;1
Ты только что сделал это?!!;positive;0;0;0
Это выдающееся открытие.;positive;0;0;1
Ты ничего не упустил!;positive;0;0;1
Именно так! (Точно так!);positive;0;0;1
Я горжусь тем, как ты сегодня работал.;positive;0;0;1
Ты делаешь это очень хорошо.;positive;0;0;1
Это намного лучше.;positive;0;0;1
Хорошая работа!;positive;0;0;1
Я счастлив видеть такую твою работу.;positive;0;0;1
Ты делаешь это сегодня значительно лучше.;positive;0;0;1
Ты делаешь хорошую работу.;positive;0;0;1
Ты близок к истине!;positive;1;0;1
Это лучшее из того, что у тебя получалось.;positive;0;0;1
Мои поздравления!;positive;0;0;1
Это то, что надо!;positive;0;0;1
Я знал, что ты можешь сделать это.;positive;0;0;1
Это неплохое улучшение.;positive;0;0;1
Сейчас ты это понял.;positive;0;0;1
Твой мозг поработал на славу.;positive;0;0;1
Теперь ничто тебя не остановит.;positive;0;0;1
Это была первая классная работа.;positive;0;0;1
Ты быстро учишься.;positive;1;0;1
Продолжая работать так же, ты добьешься лучшего.;positive;1;1;1
Это хорошо для тебя.;positive;0;0;1
Я не смог бы сделать лучше.;positive;0;0;1
Еще немного времени, и у тебя это получится.;positive;0;0;1
Ты сделал это легко.;positive;0;0;1
Ты действительно сделал мою работу шутя.;positive;0;0;1
Ты прав!;positive;0;0;1
Превосходно!;positive;0;0;1
Ты делал это так недолго.;positive;0;0;1
Это неплохо!;positive;0;0;1
Да!;positive;0;0;1
Это способ!;positive;0;0;1
Супер!;positive;0;0;1
Чудно!;positive;0;0;1
Так держать!;positive;0;0;1
Необыкновенно!;positive;0;0;1
Прекрасно!;positive;0;0;1
Это лучше всего!;positive;0;0;1
Совершенно!;positive;0;0;1
Прекрасный ход работы!;positive;0;0;1
Сейчас ты это понял.;positive;0;0;1
Сенсационно!;positive;0;0;1
Это лучше.;positive;0;0;1
Наконец-то!;positive;0;0;0
Отлично!;positive;0;0;1
Неплохо.;positive;0;0;1
Замечательно!;positive;0;0;1
Еще лучше!;positive;0;0;1
Правильно!;positive;1;0;1
Это лучше, чем всегда.;positive;0;0;0
Значительно!;positive;0;0;1
Так-так.;neutral;0;0;0
Это хорошо.;positive;0;0;1
Фантастика!;positive;0;0;1
Ужасно здорово!;positive;0;0;1
Грандиозно!;positive;0;0;1
Ты сделал это очень хорошо.;positive;0;0;1
Красивая мысль.;positive;0;0;1
Ты делаешь это красиво!;positive;0;0;1
Как ты много сделал!;positive;0;0;1
Ты действительно улучшил (что-либо).;positive;0;0;1
С каждым днем у тебя получается лучше.;positive;0;0;1
Хорошо запомнил!;positive;0;0;1
Поздравляю.;positive;0;0;1
Это правильный путь, чтобы сделать работу.;positive;1;1;1
Держись так!;positive;0;1;1
Ты сделал это как раз вовремя.;positive;0;0;1
Ты сделал сегодня много работы.;positive;0;0;1
Это способ действия!;positive;0;0;1
Сейчас ты приобретаешь в этом сноровку.;positive;0;0;1
Мне нравится ход твоих мыслей!;positive;0;0;1
Я очень горжусь тобой.;positive;0;0;1
Очень приятно учить таких умных детей.;positive;0;0;1
Большое тебе спасибо.;positive;0;0;1
Ты превзошел сам себя сегодня.;positive;0;0;1
Я никогда не видел ничего лучшего.;positive;0;0;1
Ты понял это очень быстро.;positive;0;0;1
Твоя работа принесла мне много радости.;positive;0;0;1
Этот способ именно для этого!;positive;0;0;1
Полный порядок!;positive;0;0;1
Ты действительно добьешься успеха.;positive;0;0;1
Мощный прорыв!;positive;0;0;1
Вот этого я еще не видел.;neutral;0;0;0
Ты неузнаваем сегодня.;neutral;0;0;0
Это уже успех!;positive;0;0;1
Это твоя победа.;positive;0;0;1
Теперь ты чувствуешь свои возможности.;positive;0;0;1
Ты настоящий мастер.;positive;0;0;1
Сердечно рада за тебя.;positive;0;0;1
Не могу не выразить свой восторг.;positive;0;0;1
Это называется прекрасной работой.;positive;0;0;1
Ты, наверное, долго практиковался.;positive;0;0;1
Я верю в тебя, у тебя будет всегда получаться не хуже, чем сейчас.;positive;0;0;0
Хватит болтать, а то весь класс пересажу на первую парту.;command;0;1;0
Ребята! Посмотрите на меня - перед вами молекула водорода...;command;0;0;0
11 Г, мне нужны те, кто умеет писать!;command;0;0;0
Ну что вы телитесь? Я сейчас с вами спать усну!;command;0;0;0
Учительница химии: В РОТ БРАТЬ КАТЕГОРИЧЕСКИ НЕЛЬЗЯ!!!;command;1;0;0
Ты что ноги в проходе раскидал?;command;1;0;0
Ты что, действительно такой умный? - Кто, я? - Ну не я же!;command;0;0;0
Кто там бубнит вместе со мной?;command;1;0;0
Зачем троим выходить? Чтобы штаны ему держать?;command;1;0;0
В первом классе каждый ребенок смотрит учительнице в рот, а потом куда угодно.;command;0;0;0
Юра, где твоя рука? Галя, где твоё колено?!;command;0;0;0
Здесь и так душно, а еще вы орете!;command;0;0;0
А теперь раскроем книгу, лежащую в моих руках…;command;1;0;0
Внимательно посмотрите на формулу, которую я стерла…;command;1;0;0
Ефанов, ну что ты сидишь и улыбаешься, как наркоман, которых по телевизору показывают?;command;0;0;0
Всё, я кончила, дежурные, сотрите с доски!;command;1;1;0
Пусть вон тот желтый кубик будет для наглядности синим шариком.;command;0;0;0
7 - число магическое: 7 дней в неделе, 7 пальцев на руке...;command;0;0;0
Запись в дневнике: Ваш ребенок боится козла больше, чем меня. Физрук.;command;0;0;0
Нарисуем бесконечно малый треугольник. Нет плохо видно - нарисуем побольше.;command;0;0;0
"Запись в дневнике: ""Кувыркался без мата.""";command;0;0;0
Если я ошибусь, то вы меня молча поправите.;command;0;0;0
В десятом классе стыдно в туалет ходить.;command;0;0;0
Три дня в школу не ходил, а уже в туалет захотел.;command;0;0;0
Ты весь урок смотришь на меня затылком.;command;1;0;0
Микробы попадают в наш организм с руками.;command;1;0;0
Я завтра неожиданно дам вам контрольную.;command;1;0;0
Сперматозоид соединяется с яйцеклеткой, и потом получаются такие красавцы, как вы.;command;0;0;0
Ты зачем в таких коротких шортах на физкультуру пришла? Хочешь, чтобы тебя изнасиловали?;command;1;0;0
Все в ваших интересах: чем быстрее уберете класс, тем быстрее пойдете мыть коридор...;command;1;0;0
Смотрю краем уха и понимаю, что класс непослушный...;command;0;0;0
Петров, не крутись на стуле, а то добудешь огонь ерзаньем!!!;command;1;1;0
Объявляю объявление!;command;0;0;0
Вы что, первый раз с Луны свалились?;command;0;0;0
- Кто здесь сидит из 8 А? - Я. А что? - Из какого ты класса?;command;0;0;0
Тема – функции. Будем сидеть на них, пока не умрём.;command;0;0;0
Мальчики, теперь понятно, почему вас девочки не уважают - вашего достоинства не видно.;command;0;0;0
Как ты не понимаешь! Я же понимаю!;command;0;0;0
Ни в одни ворота не укладывается.;command;0;0;0
"Имениннику: - ""Мы тебя сейчас всем классом отхэпибёздим!""";command;0;0;0
Спросит вас продавец в магазине формулу Гаусса... А вы ее не знаете!;command;0;0;0
Скажи всем, мы все вместе посмеемся!;command;0;0;0
Оценку мне тоже на двоих поставить?;command;0;0;0
Мальчики, что вы как бабы рязанские галдоните?;command;1;0;0
«Я» – последняя буква в алфавите!;command;0;0;0
По утрам нужно уши мыть!;command;1;1;0
Если утром умываешься компотом, то косточки из ушей вытаскивай!;command;1;1;0
Лес рук! одни дубы...;command;1;0;0
